raw_text_examples,normalized_suggestion,occurrences,example_recipe_ids,notes
"۴۵۰ گرم نخود فرنگی | 100 گرم نخود فرنگی | 2 قاشق غذاخوری نخود فرنگی","نخود فرنگی","9","533;94;51",""
"آویشن، به میزان لازم | آویشن به میزان لازم | آویشن","آویشن","9","1155;505;243",""
"نان تست - 50 گرم | نان تست، به مقدار لازم | نان تست به مقدار لازم","نان تست","9","193;906;1403",""
"۲ حبه سیر، رنده شده | ۱ حبه سیر رنده شده | 2 حبه سیر، رنده شده","سیر رنده شده","9","461;226;462",""
"۱ عدد گوجه‌فرنگی، خرد شده | ۲ عدد گوجه‌فرنگی، خرد شده | ۵۰۰ گرم گوجه‌فرنگی خرد شده","گوجه‌فرنگی خرد شده","8","314;452;115",""
"۱ سفیده تخم‌مرغ | ۲ عدد سفیده تخم‌مرغ | سفیده تخم‌مرغ","سفیده تخم‌مرغ","8","42;881;1203",""
"۲ عدد پیازچه، خرد شده | 6 پیازچه خرد شده | ۴ عدد پیازچه، خرد شده","پیازچه خرد شده","8","315;465;103",""
"فلفل دلمه‌ای سبز | 1 عدد فلفل دلمه‌ای سبز | ۳ عدد فلفل دلمه‌ای سبز","فلفل دلمه‌ای سبز","8","806;430;437",""
"پیاز – ۱ عدد متوسط، ریز خرد شده | ۱ عدد پیاز متوسط، ریز خرد شده | ۱ پیاز متوسط، ریز خرد شده","پیاز متوسط ریز خرد شده","8","1077;451;461",""
"سوسیس | ۲۵۰ گرم سوسیس | ۳۰۰ گرم سوسیس","سوسیس","8","746;62;1359",""
"آب ۱ عدد لیموترش | آب لیموترش | ۲ قاشق غذاخوری آب لیموترش","آب لیموترش","8","1196;820;1232",""
"پودر آویشن، به مقدار لازم | پودر آویشن | ۱ قاشق غذاخوری پودر آویشن","پودر آویشن","8","1108;906;1376",""
"نمک: به مقدار لازم | نمک: ۳ قاشق غذاخوری | نمک: به میزان لازم","نمک:","8","69;141;402",""
"ساقه کرفس، خردشده | ۲ ساقه کرفس، خردشده | ۳ ساقه کرفس، خردشده","ساقه کرفس خردشده","8","873;1183;1459",""
"۲ عدد بادمجان متوسط | ۸ بادمجان متوسط | ۴ عدد بادمجان متوسط","بادمجان متوسط","8","1525;1528;486",""
"سس بشامل، ۲ لیوان | سس بشامل | ۱ پیمانه سس بشامل","سس بشامل","8","80;1210;1211",""
"۲ پیمانه برنج پخته | ۱ پیمانه برنج پخته | برنج پخته - ۲ پیمانه","برنج پخته","8","392;1540;1336",""
"برگ گشنیز تازه | برگ گشنیز تازه برای تزیین | برگ گشنیز تازه، برای تزیین","برگ گشنیز تازه","8","1539;944;1519",""
"۱۰۰ گرم پنیر گودا، رنده‌شده | ۱ پیمانه پنیر گودا رنده‌شده | ۱۰۰ گرم پنیر گودا رنده‌شده","پنیر گودا رنده‌شده","8","899;1163;947",""
"۵۰۰ گرم ساقه کرفس، ریز خردشده | ۱ ساقه کرفس، ریز خردشده | ۳ ساقه کرفس، ریز خردشده","ساقه کرفس ریز خردشده","8","1072;643;1395",""
"۱۵۰ گرم سیب‌زمینی، نگینی خردشده | ۷ پیمانه سیب‌زمینی نگینی خردشده | ۲ عدد سیب‌زمینی، نگینی خردشده","سیب‌زمینی نگینی خردشده","8","1150;1175;1412",""
"۱۵۰ گرم ذرت | 250 گرم ذرت | ۵۰ گرم ذرت","ذرت","8","868;122;635",""
"۲ پیمانه هویج نگینی خردشده | ۲ عدد هویج، نگینی خردشده | ۱ عدد هویج، نگینی خردشده","هویج نگینی خردشده","8","1175;643;543",""
"ریحان تازه برای تزیین | ریحان تازه | کمی ریحان تازه برای تزیین","ریحان تازه","8","537;240;1026",""
"نشاسته ذرت – ۲ قاشق غذاخوری | ۱ قاشق غذاخوری نشاسته ذرت | 1 قاشق غذاخوری نشاسته ذرت","نشاسته ذرت","8","1067;1240;204",""
"۱ قاشق چای‌خوری پودر گشنیز | ۲ قاشق چای‌خوری پودر گشنیز","قاشق چای‌خوری پودر گشنیز","8","1039;1493;1483",""
"۱۸۰ گرم ذرت پخته | ۳۰۰ گرم ذرت پخته | ۱ پیمانه ذرت پخته","ذرت پخته","8","1305;938;701",""
"اسفناج | ۷۰۰ گرم اسفناج | ۵۰۰ گرم اسفناج","اسفناج","7","181;328;117",""
"۱ قاشق غذاخوری سماق | سماق به مقدار لازم | سماق، برای تزیین","سماق","7","958;866;994",""
"۱ قاشق چای‌خوری رب گوجه‌فرنگی | ۲ قاشق چای‌خوری رب گوجه‌فرنگی","قاشق چای‌خوری رب گوجه‌فرنگی","7","1361;928;444",""
"۴ تا ۵ عدد تخم‌مرغ | ۲ تا ۳ عدد تخم‌مرغ | ۱ تا ۲ عدد تخم‌مرغ","تا تخم‌مرغ","7","1043;1063;1029",""
"۲ عدد پیازچه، ریز خردشده | ۱ پیمانه پیازچه، ریز خردشده | ۱ قاشق غذاخوری پیازچه ریز خردشده","پیازچه ریز خردشده","7","780;1536;1527",""
"۱۵۰ گرم روغن یا کره | روغن یا کره، به میزان لازم | روغن یا کره","روغن یا کره","7","1045;896;372",""
"۵۰۰ گرم مرغ چرخ‌کرده | مرغ چرخ‌کرده | ۲۰۰ گرم مرغ چرخ‌کرده","مرغ چرخ‌کرده","7","1051;1156;1042",""
"۵۰ گرم پنیر فتا، خردشده | پنیر فتا، خردشده | ۲۰۰ گرم پنیر فتا، خردشده","پنیر فتا خردشده","7","801;868;910",""
"۱ عدد پیاز بزرگ، خردشده | پیاز بزرگ خردشده – ۲ عدد | ۲ عدد پیاز بزرگ، خردشده","پیاز بزرگ خردشده","7","1059;625;1297",""
"شوید تازه | ۳ پیمانه شوید تازه | 2 پیمانه شوید تازه","شوید تازه","7","806;380;288",""
"۱ پیمانه پوره گوجه‌فرنگی | ۱۲۰ گرم پوره گوجه‌فرنگی | پوره گوجه‌فرنگی","پوره گوجه‌فرنگی","7","1064;928;669",""
"سس خردل به میزان لازم | ۲ قاشق غذاخوری سس خردل | سس خردل","سس خردل","7","755;412;1185",""
"سس کچاپ به میزان لازم | سس کچاپ – به مقدار لازم | سس کچاپ","سس کچاپ","7","755;916;1185",""
"برگ اسفناج تازه | ۳۵۰ گرم برگ اسفناج تازه | ۵۰۰ گرم برگ اسفناج تازه","برگ اسفناج تازه","7","819;911;623",""
"زیره | زیره به میزان لازم | زیره - به میزان لازم","زیره","7","820;829;401",""
"۱ قاشق چای‌خوری پودر زیره | 1 قاشق چای‌خوری پودر زیره | ۲ قاشق چای‌خوری پودر زیره","قاشق چای‌خوری پودر زیره","7","362;658;523",""
"۱ قاشق چای‌خوری پاپریکا | 1 قاشق چای‌خوری پاپریکا","قاشق چای‌خوری پاپریکا","7","828;848;196",""
"زیتون سیاه | 100 گرم زیتون سیاه","زیتون سیاه","7","733;724;189",""
"نمک و فلفل سیاه تازه، به میزان لازم | نمک و فلفل سیاه تازه، به مقدار لازم","نمک و فلفل سیاه تازه","7","1511;705;1503",""
"۱ قاشق چای‌خوری پونه کوهی خشک | ۲ قاشق چای‌خوری پونه کوهی خشک","قاشق چای‌خوری پونه کوهی خشک","7","1515;1507;914",""
"جعفری تازه خردشده (برای تزیین)","جعفری تازه خردشده ()","7","1515;946;1227",""
"۱ عدد پیاز بزرگ، خرد شده | ۱ پیاز بزرگ، خرد شده | 1 پیاز بزرگ، خرد شده","پیاز بزرگ خرد شده","7","870;444;523",""
"۹۰۰ گرم تکه‌های مرغ | ۷۰۰ گرم تکه‌های مرغ | ۵۰۰ گرم تکه‌های مرغ","تکه‌های مرغ","7","871;1100;961",""
"۱ قاشق چای‌خوری دانه زیره","قاشق چای‌خوری دانه زیره","7","1529;1540;1505",""
"½ قاشق چای‌خوری نمک | ۲½ قاشق چای‌خوری نمک | ۱½ قاشق چای‌خوری نمک","½ قاشق چای‌خوری نمک","7","1507;1164;1423",""
"150 گرم مرغ | ۲۰۰ گرم مرغ | ۲۵۰ گرم مرغ","مرغ","7","139;117;127",""
"۱/۲ پیمانه پنیر پارمزان رنده‌شده | ۳/۴ پیمانه پنیر پارمزان رنده‌شده | ۱/۴ پیمانه پنیر پارمزان، رنده‌شده","/ پنیر پارمزان رنده‌شده","7","908;1289;1528",""
"۲/۳ پیمانه روغن زیتون | ۱/۴ پیمانه روغن زیتون | ۱/۳ پیمانه روغن زیتون","/ روغن زیتون","7","661;1175;103",""
"عصاره سبزیجات – ۲ پیمانه | ۴ پیمانه عصاره سبزیجات | ۳ پیمانه عصاره سبزیجات","عصاره سبزیجات","7","659;543;605",""
"۴۰۰ گرم پیاز، خلالی نازک | ۲ عدد پیاز، خلالی نازک | ۴ عدد پیاز، خلالی نازک","پیاز خلالی نازک","7","990;1012;1020",""
"آبلیمو | آبلیمو به میزان لازم | 1 قاشق غذاخوری آبلیمو","آبلیمو","7","445;194;472",""
"هویج ریز خردشده | ۲۰۰ گرم هویج، ریز خردشده | ۲ عدد هویج، ریز خردشده","هویج ریز خردشده","7","1206;546;569",""
"۱ عدد پیاز کوچک خرد شده | 1 پیاز کوچک، خرد شده | پیاز کوچک - خرد شده","پیاز کوچک خرد شده","7","90;377;458",""
"۲ پیمانه آبِ گوشت گاو | ۱ لیتر آبِ گوشت گاو | ۴ پیمانه آبِ گوشت گاو","آبِ گوشت گاو","7","1226;1527;653",""
"۲ قاشق غذاخوری کره ذوب‌شده | ۲۰ گرم کره ذوب‌شده | ۱ قاشق غذاخوری کره، ذوب‌شده","کره ذوب‌شده","7","1233;1234;1250",""
"۴ شاخه آویشن تازه | آویشن تازه | آویشن تازه، برای تزیین","آویشن تازه","7","1010;524;605",""
"روغن سرخ‌کردنی به میزان لازم | روغن سرخ‌کردنی به مقدار لازم | ۲ قاشق غذاخوری روغن سرخ‌کردنی","روغن سرخ‌کردنی","7","1248;179;704",""
"۱ قاشق چای‌خوری خردل","قاشق چای‌خوری خردل","6","1460;1409;859",""
"۱/۲ پیمانه روغن مایع | ۱/۳ پیمانه روغن مایع | ۱/۴ پیمانه روغن مایع","/ روغن مایع","6","1037;1108;440",""
"۱ عدد پیاز بزرگ، رنده‌شده | 1 پیاز بزرگ، رنده‌شده","پیاز بزرگ رنده‌شده","6","791;792;1417",""
"۱/۳ قاشق چای‌خوری زعفران ساییده | ۱/۴ قاشق چای‌خوری زعفران ساییده | ۱/۲ قاشق چای‌خوری زعفران ساییده","/ قاشق چای‌خوری زعفران ساییده","6","330;1189;343",""
"12 ورق لازانیا | ۵۰۰ گرم لازانیا | ورق لازانیا","لازانیا","6","191;109;1334",""
"روغن مایع، برای سرخ کردن | روغن مایع – برای سرخ کردن | روغن مایع برای سرخ کردن","روغن مایع برای سرخ کردن","6","810;1404;1522",""
"گوجه فرنگی رنده شده - ۲۰۰ گرم | گوجه فرنگی رنده شده | 500 گرم گوجه فرنگی، رنده شده","گوجه فرنگی رنده شده","6","339;240;73",""
"۲۵۰ گرم نعناع تازه، ریز خردشده | ۱۰۰ گرم نعناع تازه، ریز خردشده | ۱ قاشق غذاخوری نعناع تازه، ریز خردشده","نعناع تازه ریز خردشده","6","1078;867;1148",""
"۲ تا ۳ قاشق غذاخوری پیاز داغ | ۳ تا ۴ قاشق غذاخوری پیاز داغ","تا پیاز داغ","6","1078;1117;1128",""
"یک عدد پیاز | یک پیاز","یک پیاز","6","342;189;115",""
"سیب زمینی | ۴ عدد سیب زمینی | ۲۰۰۰ گرم سیب زمینی","سیب زمینی","6","443;354;404",""
"۱ عدد پیاز بزرگ، ریز خرد شده | ۱ پیاز بزرگ، ریز خرد شده","پیاز بزرگ ریز خرد شده","6","360;364;1294",""
"۱/۴ پیمانه شوید تازه، خرد شده","/ شوید تازه خرد شده","6","360;451;461",""
"۱ قاشق غذاخوری آرد ذرت | ۴ قاشق غذاخوری آرد ذرت | ۱۲ قاشق غذاخوری آرد ذرت","آرد ذرت","6","450;679;1273",""
"سیر رنده یا خردشده | ۱ حبه سیر، رنده یا خردشده | سیر، رنده یا خردشده","سیر رنده یا خردشده","6","829;1183;948",""
"۳۰ گرم پسته | پسته به مقدار لازم | پسته","پسته","6","832;504;296",""
"دو قاشق غذاخوری رب گوجه‌فرنگی","دو رب گوجه‌فرنگی","6","416;177;57",""
"100 گرم پنیر گرویر | 150 گرم پنیر گرویر | ۱۵۰ گرم پنیر گرویر","پنیر گرویر","6","69;106;109",""
"گوجه‌فرنگی متوسط – ۴ عدد | گوجه‌فرنگی متوسط – ۲ عدد | ۶ عدد گوجه‌فرنگی متوسط","گوجه‌فرنگی متوسط","6","934;1181;1430",""
"روغن مایع، به مقدار لازم برای سرخ کردن | روغن مایع – به مقدار لازم برای سرخ کردن | روغن مایع، به میزان لازم برای سرخ کردن","روغن مایع  برای سرخ کردن","6","848;1195;1297",""
"۱ قاشق غذاخوری زنجبیل تازه رنده‌شده | ۲ قاشق غذاخوری زنجبیل تازه، رنده‌شده | 2 قاشق غذاخوری زنجبیل تازه رنده‌شده","زنجبیل تازه رنده‌شده","6","1509;879;978",""
"پودر زردچوبه","پودر زردچوبه","6","872;421;348",""
"۱ عدد هویج، حلقه‌ای خردشده | ۱ پیمانه هویج، حلقه‌ای خردشده | ۲ عدد هویج، حلقه‌ای خردشده","هویج حلقه‌ای خردشده","6","879;1459;594",""
